                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6253,                 1.9428,                 1.2842,                0.82205,                0.74529,                0.81328,                0.43768,                 1.5316,                 1.2523,                 1.2525,              0.0033284,              0.0033284,              0.0033284
                      2,                 1.5505,                 1.3092,                 1.2158,                 0.8321,                0.72938,                0.80353,                0.39886,                 1.6488,                 1.1558,                 1.2805,              0.0065519,              0.0065519,              0.0065519
                      3,                 1.5674,                 1.2392,                 1.2236,                0.83194,                0.72881,                0.81388,                 0.4425,                 1.5574,                 1.0511,                 1.2453,              0.0096653,              0.0096653,              0.0096653
                      4,                 1.5737,                 1.1968,                 1.2283,                0.81635,                0.71861,                0.79904,                0.44921,                 1.5405,                0.99581,                  1.249,               0.009505,               0.009505,               0.009505
                      5,                 1.5365,                 1.1139,                  1.217,                0.84403,                0.72287,                 0.8135,                0.45151,                 1.5203,                 1.0147,                 1.2262,               0.009505,               0.009505,               0.009505
                      6,                 1.5174,                 1.0625,                 1.2066,                0.87597,                0.77008,                0.85532,                0.49367,                 1.4721,                0.91706,                  1.214,                0.00934,                0.00934,                0.00934
                      7,                  1.493,                 1.0186,                  1.196,                0.81752,                0.68305,                 0.7735,                0.44245,                 1.4805,                 1.0666,                 1.2132,               0.009175,               0.009175,               0.009175
                      8,                 1.4785,                0.98715,                 1.1883,                0.87896,                0.78247,                0.86077,                0.50031,                 1.4628,                0.86796,                 1.2041,                0.00901,                0.00901,                0.00901
                      9,                 1.4658,                0.97179,                 1.1817,                0.88503,                0.79216,                0.87386,                0.51509,                 1.4521,                0.83293,                 1.2108,               0.008845,               0.008845,               0.008845
                     10,                 1.4605,                0.94795,                 1.1815,                0.88064,                0.79848,                0.87272,                0.50147,                 1.4679,                0.84544,                 1.2174,                0.00868,                0.00868,                0.00868
                     11,                 1.4461,                0.92665,                 1.1755,                0.86567,                0.78165,                0.86256,                0.50702,                   1.45,                0.86764,                 1.2023,               0.008515,               0.008515,               0.008515
                     12,                  1.437,                0.90794,                  1.168,                0.89559,                0.79767,                0.87972,                 0.5176,                 1.4376,                0.80694,                 1.1949,                0.00835,                0.00835,                0.00835
                     13,                 1.4263,                0.89701,                 1.1621,                0.88124,                0.82487,                0.88461,                0.51903,                 1.4424,                0.78679,                 1.1931,               0.008185,               0.008185,               0.008185
                     14,                 1.4165,                0.88025,                 1.1599,                0.89637,                0.81377,                0.89331,                0.52596,                  1.437,                 0.7686,                 1.1902,                0.00802,                0.00802,                0.00802
                     15,                 1.4073,                0.86706,                 1.1503,                0.88947,                0.81273,                0.88675,                0.53077,                 1.4262,                0.77714,                 1.1829,               0.007855,               0.007855,               0.007855
                     16,                 1.3949,                 0.8549,                 1.1456,                 0.8974,                0.81585,                0.88722,                0.53137,                  1.414,                0.76318,                 1.1801,                0.00769,                0.00769,                0.00769
                     17,                 1.3911,                0.84346,                 1.1427,                0.88327,                0.82035,                0.88695,                0.53778,                 1.4043,                0.75801,                 1.1696,               0.007525,               0.007525,               0.007525
                     18,                 1.3883,                0.83899,                 1.1399,                0.89259,                0.82173,                0.89105,                0.53473,                 1.4079,                0.75971,                 1.1763,                0.00736,                0.00736,                0.00736
                     19,                 1.3809,                0.82209,                 1.1388,                0.89594,                0.82654,                0.89756,                0.53502,                  1.424,                0.74889,                 1.1732,               0.007195,               0.007195,               0.007195
                     20,                  1.379,                0.82234,                 1.1375,                0.89095,                0.82734,                0.89168,                0.52952,                 1.4124,                0.75885,                 1.1776,                0.00703,                0.00703,                0.00703
                     21,                 1.3693,                0.80564,                 1.1268,                0.89705,                 0.8306,                0.89842,                0.53373,                 1.4186,                0.74527,                 1.1696,               0.006865,               0.006865,               0.006865
                     22,                 1.3649,                0.80732,                 1.1257,                0.89333,                 0.8204,                0.89296,                0.53441,                 1.4095,                0.75291,                 1.1628,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.3576,                0.79935,                 1.1287,                0.90762,                 0.8341,                0.90158,                0.54401,                 1.4059,                0.71884,                 1.1669,               0.006535,               0.006535,               0.006535
                     24,                 1.3491,                 0.7867,                 1.1202,                0.89356,                0.83536,                 0.8991,                0.55016,                 1.3924,                0.73011,                 1.1626,                0.00637,                0.00637,                0.00637
                     25,                 1.3559,                0.78936,                 1.1212,                0.89998,                0.83091,                0.89827,                0.54878,                 1.3782,                0.72673,                 1.1618,               0.006205,               0.006205,               0.006205
                     26,                 1.3353,                0.77128,                  1.114,                0.89463,                 0.8379,                0.89684,                0.54383,                 1.3926,                0.73656,                  1.166,                0.00604,                0.00604,                0.00604
                     27,                  1.336,                0.76731,                 1.1101,                0.89817,                0.83139,                0.89657,                0.54076,                 1.4004,                  0.747,                 1.1715,               0.005875,               0.005875,               0.005875
                     28,                 1.3346,                0.76121,                 1.1099,                 0.8932,                 0.8303,                0.89294,                0.54125,                 1.3988,                   0.73,                 1.1689,                0.00571,                0.00571,                0.00571
                     29,                 1.3295,                0.75803,                  1.109,                0.89955,                0.84045,                0.90048,                0.55125,                 1.3823,                0.71972,                 1.1634,               0.005545,               0.005545,               0.005545
                     30,                 1.3167,                0.74903,                 1.1045,                 0.8964,                0.84539,                0.90604,                0.55169,                 1.3826,                0.70979,                  1.161,                0.00538,                0.00538,                0.00538
                     31,                 1.3127,                0.74432,                 1.1022,                0.90346,                0.83555,                0.89904,                0.55581,                 1.3686,                0.72609,                 1.1543,               0.005215,               0.005215,               0.005215
                     32,                 1.3096,                0.73872,                 1.0993,                 0.8968,                0.84438,                0.90209,                0.55179,                 1.3907,                0.70123,                 1.1594,                0.00505,                0.00505,                0.00505
                     33,                 1.3014,                0.73271,                 1.0975,                0.90783,                0.83721,                0.90287,                0.55458,                 1.3819,                0.71931,                 1.1609,               0.004885,               0.004885,               0.004885
                     34,                 1.2979,                0.72743,                 1.0916,                0.90455,                0.84517,                0.90307,                0.55334,                 1.3793,                0.70573,                  1.158,                0.00472,                0.00472,                0.00472
                     35,                 1.2959,                0.72253,                  1.091,                0.91026,                0.84317,                0.90673,                 0.5544,                 1.3923,                 0.6986,                 1.1635,               0.004555,               0.004555,               0.004555
                     36,                  1.291,                0.71481,                 1.0849,                0.90309,                0.84423,                0.90233,                0.55431,                  1.388,                0.70782,                 1.1591,                0.00439,                0.00439,                0.00439
                     37,                  1.277,                0.70961,                 1.0816,                0.90618,                0.83722,                0.89971,                0.55195,                 1.3768,                0.71482,                 1.1577,               0.004225,               0.004225,               0.004225
                     38,                 1.2725,                0.70685,                 1.0859,                0.90289,                0.84153,                0.90167,                0.55516,                  1.382,                0.71004,                 1.1619,                0.00406,                0.00406,                0.00406
                     39,                  1.269,                0.69483,                 1.0769,                0.90212,                0.83621,                0.89952,                0.55479,                  1.384,                0.71353,                  1.159,               0.003895,               0.003895,               0.003895
